sat,image_index,subject,stim,response,confidence,correct,resp_rt,conf_rt,repeat,mnist_index
accuracy focus,1,1,2,2,4,1,0.702198584,0.649896375,0,48
accuracy focus,1,1,2,2,4,1,0.70260825,0.268917375,1,48
accuracy focus,1,2,2,4,1,0,1.450748208,0.488193833,0,48
accuracy focus,1,2,2,3,4,0,0.970708,0.428919791,1,48
accuracy focus,1,3,2,2,4,1,0.701576833,0.197865875,0,48
accuracy focus,1,3,2,3,2,0,0.814672666,0.781909083,1,48
accuracy focus,1,4,2,2,2,1,1.105983542,0.2643385,0,48
accuracy focus,1,4,2,2,1,1,1.497341875,0.554770791,1,48
accuracy focus,1,5,2,4,4,0,1.109141875,0.183526292,0,48
accuracy focus,1,5,2,2,4,1,0.807046833,0.202232875,1,48
accuracy focus,1,6,2,2,4,1,0.707890083,0.218281583,0,48
accuracy focus,1,6,2,4,2,0,0.704809667,0.201505958,1,48
accuracy focus,1,7,2,1,2,0,2.161828583,0.688801458,0,48
accuracy focus,1,7,2,2,4,1,1.420415875,0.624822583,1,48
accuracy focus,1,8,2,2,2,1,1.6298535,1.353329042,0,48
accuracy focus,1,8,2,2,3,1,0.812303042,0.38421775,1,48
accuracy focus,1,9,2,2,3,1,0.791519125,1.190417375,0,48
accuracy focus,1,9,2,3,4,0,1.080536291,2.570745541,1,48
accuracy focus,1,10,2,2,4,1,1.458633,0.535114583,0,48
accuracy focus,1,10,2,2,4,1,0.715925458,0.284232125,1,48
accuracy focus,1,11,2,2,4,1,0.694057709,0.315212208,0,48
accuracy focus,1,11,2,2,4,1,0.5673445,0.236305166,1,48
accuracy focus,1,12,2,6,4,0,0.696873,0.218441167,0,48
accuracy focus,1,12,2,2,4,1,0.588965041,0.202939625,1,48
accuracy focus,1,13,2,2,4,1,0.889402708,0.152771375,0,48
accuracy focus,1,13,2,2,4,1,0.689432792,0.118522917,1,48
accuracy focus,1,14,2,2,4,1,1.030586625,0.426226416,0,48
accuracy focus,1,14,2,2,2,1,1.089217,0.312552459,1,48
