Sub_id,Stimulus,Response,Correct,Confidence,RT decision,RT confidence,Condition,Noise Level
1,5,8,0,1,1.902,0.142,1,0.99
1,8,8,1,1,0.587,0.079,1,0.98
1,7,7,1,1,0.425,0.217,1,0.98
1,8,6,0,1,0.494,0.183,1,0.99
1,5,6,0,1,0.299,0.134,1,0.98
1,8,7,0,1,0.299,0.184,1,0.97
1,8,8,1,1,1.463,0.214,1,0.96
1,6,5,0,1,1.67,0.509,1,0.96
1,5,5,1,2,1.08,1.002,1,0.95
1,6,6,1,2,0.781,0.586,1,0.95
1,5,5,1,2,1.84,0.744,1,0.96
1,8,6,0,2,0.79,0.379,1,0.97
1,8,7,0,1,0.779,0.219,1,0.96
1,6,6,1,1,0.954,0.431,1,0.95
1,7,7,1,1,0.746,0.195,1,0.95
1,7,7,1,1,1.168,0.271,1,0.96
1,8,5,0,1,1.147,0.29,1,0.97
1,7,5,0,1,0.528,0.67,1,0.96
1,8,8,1,1,0.681,0.253,1,0.95
1,5,5,1,3,0.91,0.547,1,0.95
1,6,6,1,2,0.721,1.15,1,0.96
1,8,5,0,1,1.765,0.108,1,0.97
1,7,5,0,1,0.498,0.164,1,0.96
1,7,7,1,2,0.768,0.165,1,0.95
1,7,7,1,2,0.361,0.147,1,0.95
1,5,6,0,2,0.783,0.59,1,0.96
1,7,7,1,4,0.825,0.359,1,0.95
1,6,6,1,4,0.798,0.236,1,0.95
1,6,6,1,4,0.52,0.333,1,0.96
1,7,7,1,1,1.339,0.303,1,0.97
1,8,7,0,1,0.844,0.115,1,0.98
1,6,8,0,1,0.775,0.202,1,0.97
1,6,7,0,1,0.343,1.034,1,0.96
1,5,6,0,1,0.708,0.183,1,0.95
1,8,8,1,4,0.627,0.603,1,0.94
1,6,6,1,4,0.979,0.144,1,0.94
1,7,7,1,3,1.167,0.428,1,0.95
1,8,7,0,3,0.467,0.148,1,0.96
1,7,7,1,3,0.339,0.112,1,0.95
1,5,6,0,3,1.046,0.07,1,0.95
1,6,6,1,2,1.144,0.138,1,0.94
1,7,7,1,2,0.669,0.21,1,0.94
1,8,8,1,2,0.552,0.096,1,0.95
1,6,6,1,2,0.767,0.08,1,0.96
1,8,8,1,2,2.04,0.488,1,0.97
1,5,8,0,1,0.776,0.587,1,0.98
1,5,8,0,1,0.317,0.139,1,0.97
1,8,7,0,1,0.487,0.13,1,0.96
1,5,6,0,2,0.834,0.692,1,0.95
1,6,6,1,3,0.452,0.442,1,0.94
1,6,6,1,3,1.098,0.157,1,0.94
1,8,7,0,2,1.089,0.653,1,0.95
1,8,6,0,1,1.429,0.152,1,0.94
1,6,6,1,2,0.704,0.782,1,0.93
1,8,8,1,4,0.737,0.241,1,0.93
1,7,7,1,4,0.689,0.438,1,0.94
1,8,6,0,4,1.119,0.433,1,0.95
1,6,6,1,4,0.283,0.16,1,0.94
1,5,5,1,2,1.497,1.203,1,0.94
1,5,6,0,1,0.933,0.951,1,0.95
1,8,8,1,2,0.82,0.804,1,0.94
1,7,7,1,3,0.639,0.081,1,0.94
1,7,5,0,1,2.51,0.097,1,0.95
1,7,5,0,1,2.585,0.316,1,0.94
1,7,7,1,4,1.061,1.165,1,0.93
1,7,7,1,4,0.719,0.194,1,0.93
1,5,5,1,4,0.926,0.204,1,0.94
1,8,5,0,3,0.76,0.721,1,0.95
1,7,7,1,2,0.55,0.485,1,0.94
1,7,7,1,2,0.483,0.392,1,0.94
1,8,8,1,2,1.32,0.912,1,0.95
1,7,7,1,2,0.72,0.613,1,0.96
1,5,7,0,2,0.489,0.347,1,0.97
1,5,5,1,4,0.559,1.611,1,0.96
1,7,7,1,3,0.598,0.884,1,0.96
1,8,7,0,2,0.615,0.676,1,0.97
1,8,5,0,1,0.82,0.24,1,0.96
1,5,5,1,1,0.48,0.435,1,0.95
1,5,5,1,1,0.342,0.226,1,0.95
1,5,5,1,3,1.283,0.386,1,0.96
1,8,5,0,1,1.739,0.139,1,0.97
1,5,5,1,3,0.342,0.654,1,0.96
1,6,5,0,2,1.001,0.578,1,0.96
1,6,5,0,1,0.986,0.383,1,0.95
1,7,7,1,4,0.623,0.915,1,0.94
1,8,8,1,1,0.894,1.065,1,0.94
1,6,6,1,3,1.483,1.401,1,0.95
1,8,5,0,1,0.899,0.326,1,0.96
1,5,5,1,1,0.617,0.22,1,0.95
1,5,6,0,1,0.474,0.313,1,0.95
1,5,6,0,3,0.646,0.717,1,0.94
1,8,8,1,2,0.898,1.038,1,0.93
1,8,8,1,2,0.529,0.358,1,0.93
1,7,7,1,3,0.638,0.797,1,0.94
1,6,5,0,1,0.547,0.658,1,0.95
1,7,5,0,1,2.708,0.512,1,0.94
1,8,8,1,4,0.506,0.386,1,0.93
1,6,5,0,1,0.94,1.323,1,0.93
1,7,7,1,4,0.643,1.264,1,0.92
1,7,7,1,4,0.323,0.452,1,0.92
1,5,5,1,4,0.432,1.248,1,0.94
1,6,6,1,2,0.336,0.374,1,0.94
1,6,7,0,1,0.888,0.317,1,0.95
1,8,8,1,1,0.355,0.414,1,0.94
1,8,8,1,1,0.358,0.655,1,0.93
1,5,5,1,3,0.927,1.339,1,0.93
1,5,5,1,3,0.393,0.354,1,0.92
1,7,5,0,2,0.372,0.23,1,0.92
1,6,6,1,1,1.082,0.433,1,0.93
1,8,8,1,1,0.709,0.563,1,0.92
1,6,5,0,1,0.83,0.134,1,0.92
1,5,5,1,1,0.643,0.436,1,0.93
1,5,5,1,2,0.487,0.418,1,0.94
1,5,5,1,1,0.501,0.236,1,0.95
1,5,5,1,3,0.299,0.478,1,0.96
1,8,5,0,1,0.411,0.407,1,0.95
1,8,5,0,1,0.361,0.209,1,0.95
1,5,5,1,1,0.445,0.25,1,0.94
1,8,5,0,2,0.31,1.169,1,0.94
1,6,6,1,2,0.747,0.314,1,0.95
1,8,5,0,1,0.731,0.312,1,0.96
1,7,7,1,1,1.029,0.304,1,0.95
1,6,6,1,1,0.481,0.341,1,0.95
1,5,5,1,1,0.622,0.3,1,0.94
1,7,5,0,1,0.569,0.108,1,0.93
1,5,6,0,1,1.952,0.36,1,0.92
1,7,5,0,1,0.802,0.119,1,0.91
1,5,5,1,1,0.381,0.109,1,0.91
1,7,7,1,1,0.818,0.499,1,0.92
1,6,6,1,2,0.534,0.782,1,0.93
1,5,5,1,2,0.478,0.538,1,0.94
